"Country","Year","total","gold","silver","bronze","rank","ranklabel"
"AUT",1924,4,3,1,0,7,"No.7"
"AUT",1928,6,0,4,2,6,"No.6"
"AUT",1932,2,1,1,0,7,"No.7"
"AUT",1936,5,1,2,2,8,"No.8"
"AUT",1948,8,1,3,4,7,"No.7"
"AUT",1952,8,2,4,2,7,"No.7"
"AUT",1956,12,5,3,4,4,"No.4"
"AUT",1960,6,1,2,3,7,"No.7"
"AUT",1964,17,5,9,3,2,"No.2"
"AUT",1968,15,3,8,4,4,"No.4"
"AUT",1972,5,1,2,2,6,"No.6"
"AUT",1976,7,2,2,3,5,"No.5"
"AUT",1980,8,3,2,3,6,"No.6"
"AUT",1984,1,0,0,1,8,"No.8"
"AUT",1988,12,3,5,4,4,"No.4"
"AUT",1992,29,9,10,10,3,"No.3"
"AUT",1994,12,2,3,7,10,"No.10"
"AUT",1998,20,3,5,12,7,"No.7"
"AUT",2002,20,3,4,13,9,"No.9"
"AUT",2006,30,16,7,7,7,"No.7"
"AUT",2010,26,11,9,6,6,"No.6"
"AUT",2014,27,4,12,11,9,"No.9"
"CAN",1924,9,9,0,0,4,"No.4"
"CAN",1928,12,12,0,0,4,"No.4"
"CAN",1932,20,14,1,5,2,"No.2"
"CAN",1936,13,0,13,0,3,"No.3"
"CAN",1948,15,13,0,2,3,"No.3"
"CAN",1952,17,16,0,1,4,"No.4"
"CAN",1956,20,0,2,18,2,"No.2"
"CAN",1960,21,3,17,1,2,"No.2"
"CAN",1964,7,4,2,1,8,"No.8"
"CAN",1968,20,1,1,18,2,"No.2"
"CAN",1972,1,0,1,0,8,"No.8"
"CAN",1976,3,1,1,1,7,"No.7"
"CAN",1980,2,0,1,1,8,"No.8"
"CAN",1984,4,2,1,1,6,"No.6"
"CAN",1988,6,0,2,4,8,"No.8"
"CAN",1992,36,5,28,3,2,"No.2"
"CAN",1994,37,3,29,5,2,"No.2"
"CAN",1998,49,14,28,7,3,"No.3"
"CAN",2002,74,52,7,15,2,"No.2"
"CAN",2006,69,30,28,11,1,"No.1"
"CAN",2010,90,67,15,8,2,"No.2"
"CAN",2014,86,59,22,5,1,"No.1"
"FIN",1924,15,4,8,3,2,"No.2"
"FIN",1928,4,2,1,1,8,"No.8"
"FIN",1932,3,1,1,1,5,"No.5"
"FIN",1936,9,4,2,3,6,"No.6"
"FIN",1948,9,1,6,2,6,"No.6"
"FIN",1952,12,6,4,2,5,"No.5"
"FIN",1956,12,5,6,1,5,"No.5"
"FIN",1960,13,5,3,5,3,"No.3"
"FIN",1964,15,3,7,5,3,"No.3"
"FIN",1968,8,1,2,5,6,"No.6"
"FIN",1972,10,0,9,1,4,"No.4"
"FIN",1976,16,5,10,1,1,"No.1"
"FIN",1980,12,1,5,6,4,"No.4"
"FIN",1984,19,4,3,12,2,"No.2"
"FIN",1988,34,7,22,5,1,"No.1"
"FIN",1992,13,6,1,6,7,"No.7"
"FIN",1994,30,0,1,29,5,"No.5"
"FIN",1998,58,2,7,49,1,"No.1"
"FIN",2002,13,7,5,1,10,"No.10"
"FIN",2006,41,0,34,7,5,"No.5"
"FIN",2010,47,0,1,46,4,"No.4"
"FIN",2014,33,2,7,24,7,"No.7"
"GER",1928,5,0,0,5,7,"No.7"
"GER",1932,14,0,0,14,3,"No.3"
"GER",1936,7,4,3,0,7,"No.7"
"GER",1952,12,8,2,2,6,"No.6"
"GER",1956,2,1,0,1,9,"No.9"
"GER",1960,9,4,4,1,4,"No.4"
"GER",1964,10,3,4,3,5,"No.5"
"GER",1992,38,14,17,7,1,"No.1"
"GER",1994,40,18,10,12,1,"No.1"
"GER",1998,44,22,12,10,4,"No.4"
"GER",2002,61,26,23,12,3,"No.3"
"GER",2006,54,23,25,6,3,"No.3"
"GER",2010,54,15,24,15,3,"No.3"
"GER",2014,36,15,12,9,5,"No.5"
"ITA",1948,1,1,0,0,8,"No.8"
"ITA",1952,2,1,0,1,9,"No.9"
"ITA",1956,8,2,6,0,7,"No.7"
"ITA",1960,1,0,0,1,9,"No.9"
"ITA",1964,10,0,2,8,6,"No.6"
"ITA",1968,8,8,0,0,7,"No.7"
"ITA",1972,9,3,5,1,5,"No.5"
"ITA",1976,4,1,2,1,6,"No.6"
"ITA",1980,3,0,3,0,7,"No.7"
