"Name","Sex","Age","Country","Year","Event","Medal","Population","GDP_per_Capita","Density","HappinessRank","HappinessScore","total_medal_amount"
"Juhamatti Tapio Aaltonen","M",28,"FIN",2014,"Ice Hockey Men's Ice Hockey","Bronze",5482013,42311.03623,18,1,7.632,426
"Kjetil Andr Aamodt","M",20,"NOR",1992,"Alpine Skiing Men's Super G","Gold",5195921,74400.36978,15,2,7.594,443
"Kjetil Andr Aamodt","M",20,"NOR",1992,"Alpine Skiing Men's Giant Slalom","Bronze",5195921,74400.36978,15,2,7.594,443
"Kjetil Andr Aamodt","M",22,"NOR",1994,"Alpine Skiing Men's Downhill","Silver",5195921,74400.36978,15,2,7.594,443
"Kjetil Andr Aamodt","M",22,"NOR",1994,"Alpine Skiing Men's Super G","Bronze",5195921,74400.36978,15,2,7.594,443
"Kjetil Andr Aamodt","M",22,"NOR",1994,"Alpine Skiing Men's Combined","Silver",5195921,74400.36978,15,2,7.594,443
"Kjetil Andr Aamodt","M",30,"NOR",2002,"Alpine Skiing Men's Super G","Gold",5195921,74400.36978,15,2,7.594,443
"Kjetil Andr Aamodt","M",30,"NOR",2002,"Alpine Skiing Men's Combined","Gold",5195921,74400.36978,15,2,7.594,443
"Kjetil Andr Aamodt","M",34,"NOR",2006,"Alpine Skiing Men's Super G","Gold",5195921,74400.36978,15,2,7.594,443
"Roald Edgar Aas","M",23,"NOR",1952,"Speed Skating Men's 1,500 metres","Bronze",5195921,74400.36978,15,2,7.594,443
"Roald Edgar Aas","M",31,"NOR",1960,"Speed Skating Men's 1,500 metres","Gold",5195921,74400.36978,15,2,7.594,443
"Jeremy Abbott","M",28,"USA",2014,"Figure Skating Mixed Team","Bronze",321418820,56115.71843,36,18,6.886,635
"Clarence John Abel","M",23,"USA",1924,"Ice Hockey Men's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"George Gordon Abel","M",35,"CAN",1952,"Ice Hockey Men's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Karl Gustaf Emanuel Abrahamsson","M",31,"SWE",1928,"Ice Hockey Men's Ice Hockey","Silver",9798871,50579.67365,25,9,7.314,428
"Yekaterina Konstantinovna Abramova","F",23,"RUS",2006,"Speed Skating Women's Team Pursuit (6 laps)","Bronze",144096812,9092.580536,9,59,5.81,260
"Paul Accola","M",20,"SUI",1988,"Alpine Skiing Men's Combined","Bronze",8286976,80945.07922,219,5,7.487,275
"Ronny Ackermann","M",24,"GER",2002,"Nordic Combined Men's Team","Silver",81413145,41313.31399,240,15,6.965,386
"Ronny Ackermann","M",24,"GER",2002,"Nordic Combined Men's Sprint","Silver",81413145,41313.31399,240,15,6.965,386
"Ronny Ackermann","M",28,"GER",2006,"Nordic Combined Men's Team","Silver",81413145,41313.31399,240,15,6.965,386
"Donat Acklin","M",26,"SUI",1992,"Bobsleigh Men's Two","Gold",8286976,80945.07922,219,5,7.487,275
"Donat Acklin","M",26,"SUI",1992,"Bobsleigh Men's Four","Bronze",8286976,80945.07922,219,5,7.487,275
"Donat Acklin","M",28,"SUI",1994,"Bobsleigh Men's Two","Gold",8286976,80945.07922,219,5,7.487,275
"Donat Acklin","M",28,"SUI",1994,"Bobsleigh Men's Four","Silver",8286976,80945.07922,219,5,7.487,275
"Guido Acklin","M",24,"SUI",1994,"Bobsleigh Men's Two","Silver",8286976,80945.07922,219,5,7.487,275
"Michael B. ""Mike"" Adam","M",24,"CAN",2006,"Curling Men's Curling","Gold",35851774,43248.52991,4,7,7.328,611
"Richard ""Richy""  Adjei","M",27,"GER",2010,"Bobsleigh Men's Two","Silver",81413145,41313.31399,240,15,6.965,386
"Maksim Sergeyevich Afinogenov","M",22,"RUS",2002,"Ice Hockey Men's Ice Hockey","Bronze",144096812,9092.580536,9,59,5.81,260
"Meghan Christina Agosta (-Marciano)","F",18,"CAN",2006,"Ice Hockey Women's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Meghan Christina Agosta (-Marciano)","F",23,"CAN",2010,"Ice Hockey Women's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Meghan Christina Agosta (-Marciano)","F",26,"CAN",2014,"Ice Hockey Women's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Benjamin Alexandro ""Ben"" Agosto","M",24,"USA",2006,"Figure Skating Mixed Ice Dancing","Silver",321418820,56115.71843,36,18,6.886,635
"Kevin Joseph Ahearn","M",23,"USA",1972,"Ice Hockey Men's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Mats Bertil hlberg","M",32,"SWE",1980,"Ice Hockey Men's Ice Hockey","Bronze",9798871,50579.67365,25,9,7.314,428
"Annica Gunilla hln","F",27,"SWE",2002,"Ice Hockey Women's Ice Hockey","Bronze",9798871,50579.67365,25,9,7.314,428
"Johan Petter hln (Andersson-)","M",44,"SWE",1924,"Curling Men's Curling","Silver",9798871,50579.67365,25,9,7.314,428
