"Country","HappinessScore","HappinessRank","GDP","GDPRank","RankLabel","toHighlight"
"ALB",4.586,112,3945.217582,61,"Country: ALB
Happiness: No.112
GDP: No.61","2"
"ALG",5.295,84,4206.031232,58,"Country: ALG
Happiness: No.84
GDP: No.58","2"
"ARG",6.388,29,13431.87834,34,"Country: ARG
Happiness: No.29
GDP: No.34","2"
"ARM",4.321,129,3489.12769,65,"Country: ARM
Happiness: No.129
GDP: No.65","2"
"AUS",7.272,10,56310.96299,5,"Country: AUS
Happiness: No.10
GDP: No.5","2"
"AUT",7.139,12,43774.98517,12,"Country: AUT
Happiness: No.12
GDP: No.12","2"
"AZE",5.201,87,5496.34464,53,"Country: AZE
Happiness: No.87
GDP: No.53","2"
"BEL",6.927,16,40324.02777,16,"Country: BEL
Happiness: No.16
GDP: No.16","2"
"BIH",5.129,93,4249.330313,57,"Country: BIH
Happiness: No.93
GDP: No.57","2"
"BLR",5.483,73,5740.456495,51,"Country: BLR
Happiness: No.73
GDP: No.51","2"
"BOL",5.752,62,3076.791811,66,"Country: BOL
Happiness: No.62
GDP: No.66","2"
"BRA",6.419,28,8538.589975,44,"Country: BRA
Happiness: No.28
GDP: No.44","2"
"BUL",4.933,100,6993.47736,47,"Country: BUL
Happiness: No.100
GDP: No.47","2"
"CAN",7.328,7,43248.52991,13,"Country: CAN
Happiness: No.7
GDP: No.13","2"
"CHI",6.476,25,13416.23004,35,"Country: CHI
Happiness: No.25
GDP: No.35","2"
"CHN",5.246,86,8027.68381,46,"Country: CHN
Happiness: No.86
GDP: No.46","2"
"CMR",4.975,99,1217.26067,77,"Country: CMR
Happiness: No.99
GDP: No.77","2"
"COL",6.26,37,6056.147717,48,"Country: COL
Happiness: No.37
GDP: No.48","2"
"CRC",7.072,13,11260.09216,39,"Country: CRC
Happiness: No.13
GDP: No.39","2"
"CRO",5.321,82,11535.82936,38,"Country: CRO
Happiness: No.82
GDP: No.38","2"
"CYP",5.762,61,23242.84007,23,"Country: CYP
Happiness: No.61
GDP: No.23","2"
"CZE",6.711,21,17548.33821,28,"Country: CZE
Happiness: No.21
GDP: No.28","2"
"DEN",7.555,3,51989.29347,7,"Country: DEN
Happiness: No.3
GDP: No.7","2"
"EGY",4.419,122,3614.746766,64,"Country: EGY
Happiness: No.122
GDP: No.64","2"
"ESP",6.31,36,25831.58231,22,"Country: ESP
Happiness: No.36
GDP: No.22","2"
"EST",5.739,63,17118.5042,29,"Country: EST
Happiness: No.63
GDP: No.29","2"
"ETH",4.35,127,619.1694065,83,"Country: ETH
Happiness: No.127
GDP: No.83","2"
"FIN",7.632,1,42311.03623,14,"Country: FIN
Happiness: No.1
GDP: No.14","2"
"FRA",6.489,23,36205.5681,18,"Country: FRA
Happiness: No.23
GDP: No.18","2"
"GBR",7.19,11,43875.96961,11,"Country: GBR
Happiness: No.11
GDP: No.11","2"
"GEO",4.34,128,3795.973308,63,"Country: GEO
Happiness: No.128
GDP: No.63","2"
"GER",6.965,15,41313.31399,15,"Country: GER
Happiness: No.15
GDP: No.15","2"
"GHA",4.657,108,1369.701122,76,"Country: GHA
Happiness: No.108
GDP: No.76","2"
"GRE",5.358,79,18002.23058,27,"Country: GRE
Happiness: No.79
GDP: No.27","2"
"GUA",6.382,30,3903.478856,62,"Country: GUA
Happiness: No.30
GDP: No.62","2"
"HON",5.504,72,2528.89355,69,"Country: HON
Happiness: No.72
GDP: No.69","2"
"HUN",5.62,69,12363.54346,37,"Country: HUN
Happiness: No.69
GDP: No.37","2"
"IND",4.19,133,1598.259034,73,"Country: IND
Happiness: No.133
GDP: No.73","2"
"IRL",6.977,14,61133.67243,4,"Country: IRL
Happiness: No.14
GDP: No.4","2"
"ISL",7.495,4,50173.33992,9,"Country: ISL
Happiness: No.4
GDP: No.9","2"
"ISR",6.814,19,35728.0935,19,"Country: ISR
Happiness: No.19
GDP: No.19","2"
"ITA",6,47,29957.80432,21,"Country: ITA
Happiness: No.47
GDP: No.21","2"
