"Name","Country","total"
"Aaron Michael Miller","USA",1
"Adam David Vernon Foote","CAN",1
"Adam Enright","CAN",1
"Adam Henryk Maysz","POL",4
"Adam Richard Deadmarsh","USA",1
"Adelina Dmitriyevna Sotnikova","RUS",1
"Adolf Koxeder","AUT",1
"Adrian Mark Aucoin","CAN",1
"Adriana Johanna ""Ria"" Visser","NED",1
"Adriano Frassinelli","ITA",1
"Adrie ""Ard"" Schenk","NED",4
"Adrien Louis Albert Vandelle","FRA",1
"Adrien Plavsic","CAN",1
"Aino-Kaisa Saarinen","FIN",5
"Aja L. Evans","USA",1
"Aki Tapani Karvonen","FIN",3
"Aki-Petteri Arvid ""Aki"" Berg","FIN",2
"Akira Kuroiwa","JPN",1
"Akito Watabe","JPN",1
"Akitsugu Konno","JPN",1
"Aksel Lund Svindal","NOR",3
"Aku ""August"" Eskelinen","FIN",1
"Alain Calmat","FRA",1
"Alan Morgan ""Al"" Washbond","USA",1
"Alana Olga Blahoski","USA",1
"Alanna Kraus (-Handley)","CAN",2
"Albert Geromini","SUI",1
"Albert Giger","SUI",1
"Albert Gordon ""Bert"" Duncanson","CAN",1
"Albert John ""Bert"" McCaffrey","CAN",1
"Albert Madrin","SUI",1
"Albert Mikhaylovich Demchenko","RUS",3
"Albert Romo ""Ab"" Renaud","CAN",1
"Alberto Tomba","ITA",5
"Albina Khamitovna Akhatova","RUS",5
"Ale Hemsk","CZE",1
"Ale Kotalk","CZE",1
"Ale Valenta","CZE",1
"Aleksander Barkov","FIN",1
"Aleksandr Aleksandrovich Smyshlyayev","RUS",1
"Aleksandr Andreyevich Bessmertnykh","RUS",1
"Aleksandr Eduardovich Panzhinsky","RUS",1
"Aleksandr Gennadyevich Legkov","RUS",2
"Aleksandr Vladimirovich Denisyev","RUS",1
"Aleksandr Vladimirovich Tretyakov","RUS",2
"Aleksandr Vyacheslavovich ""Sasha"" Zhulin","RUS",1
"Aleksandr Vyacheslavovich Golubyov","RUS",1
"Aleksandr Yuryevich Zubkov","RUS",4
"Aleksey Aleksandrovich Negodaylo","RUS",1
"Aleksey Alekseyevich Morozov","RUS",1
"Aleksey Anatolyevich Volkov","RUS",1
"Aleksey Gennadyevich Grishin","BLR",2
"Aleksey Ivanovich Voyevoda","RUS",4
"Aleksey Konstantinovich Yagudin","RUS",1
"Aleksey Nikolayevich Seliverstov","RUS",1
"Aleksey Nikolayevich Zhitnik","RUS",1
"Aleksey Petrovich Aydarov","BLR",1
"Aleksey Valeryevich Yashin","RUS",2
"Aleksey Vasilyevich Gusarov","RUS",1
